Date,Stock,Close,Interest Rate,Inflation Rate,GDP
2018-04-10,JPM,112.51000213623048,1.69,2.491592,20602.45443956044
2018-04-10,AAPL,43.3125,1.69,2.491592,20602.45443956044
2018-04-10,MS,54.13999938964844,1.69,2.491592,20602.45443956044
2018-04-10,CSCO,42.5099983215332,1.69,2.491592,20602.45443956044
2018-04-10,AMZN,71.81099700927734,1.69,2.491592,20602.45443956044
2018-04-10,MSFT,92.87999725341795,1.69,2.491592,20602.45443956044
2018-04-10,WFC,52.619998931884766,1.69,2.491592,20602.45443956044
2018-04-11,AAPL,43.11000061035156,1.69,2.491592,20604.848043956044
2018-04-11,JPM,110.62000274658205,1.69,2.491592,20604.848043956044
2018-04-11,F,11.43000030517578,1.69,2.491592,20604.848043956044
2018-04-11,CSCO,42.43000030517578,1.69,2.491592,20604.848043956044
2018-04-11,AMZN,71.35250091552734,1.69,2.491592,20604.848043956044
2018-04-11,MS,52.7400016784668,1.69,2.491592,20604.848043956044
2018-04-11,MSFT,91.86000061035156,1.69,2.491592,20604.848043956044
2018-04-11,WFC,51.93000030517578,1.69,2.491592,20604.848043956044
2018-04-12,MSFT,93.58000183105467,1.69,2.491592,20607.24164835165
2018-04-12,AAPL,43.53499984741211,1.69,2.491592,20607.24164835165
2018-04-12,F,11.3100004196167,1.69,2.491592,20607.24164835165
2018-04-12,CSCO,43.34000015258789,1.69,2.491592,20607.24164835165
2018-04-12,JPM,113.37000274658205,1.69,2.491592,20607.24164835165
2018-04-12,AMZN,72.42500305175781,1.69,2.491592,20607.24164835165
2018-04-12,MS,53.84999847412109,1.69,2.491592,20607.24164835165
2018-04-12,WFC,52.70000076293945,1.69,2.491592,20607.24164835165
2018-04-13,AAPL,43.682498931884766,1.69,2.491592,20609.63525274725
2018-04-13,F,11.279999732971191,1.69,2.491592,20609.63525274725
2018-04-13,CSCO,43.0,1.69,2.491592,20609.63525274725
2018-04-13,AMZN,71.53949737548828,1.69,2.491592,20609.63525274725
2018-04-13,WFC,50.88999938964844,1.69,2.491592,20609.63525274725
2018-04-13,JPM,110.3000030517578,1.69,2.491592,20609.63525274725
2018-04-13,MS,52.97999954223633,1.69,2.491592,20609.63525274725
2018-04-13,MSFT,93.08000183105467,1.69,2.491592,20609.63525274725
2018-04-16,JPM,110.20999908447266,1.69,2.491592,20616.816065934065
2018-04-16,MSFT,94.16999816894533,1.69,2.491592,20616.816065934065
2018-04-16,F,11.380000114440918,1.69,2.491592,20616.816065934065
2018-04-16,CSCO,43.29999923706055,1.69,2.491592,20616.816065934065
2018-04-16,AAPL,43.95500183105469,1.69,2.491592,20616.816065934065
2018-04-16,WFC,50.79999923706055,1.69,2.491592,20616.816065934065
2018-04-16,AMZN,72.07499694824219,1.69,2.491592,20616.816065934065
2018-04-16,MS,53.400001525878906,1.69,2.491592,20616.816065934065
2018-04-17,AMZN,75.19149780273438,1.69,2.491592,20619.20967032967
2018-04-17,WFC,50.56999969482422,1.69,2.491592,20619.20967032967
2018-04-17,JPM,110.20999908447266,1.69,2.491592,20619.20967032967
2018-04-17,AAPL,44.560001373291016,1.69,2.491592,20619.20967032967
2018-04-17,F,11.380000114440918,1.69,2.491592,20619.20967032967
2018-04-17,MS,53.2400016784668,1.69,2.491592,20619.20967032967
2018-04-17,MSFT,96.06999969482422,1.69,2.491592,20619.20967032967
2018-04-17,CSCO,44.59000015258789,1.69,2.491592,20619.20967032967
2018-04-18,MS,53.2599983215332,1.69,2.491592,20621.60327472528
2018-04-18,JPM,109.31999969482422,1.69,2.491592,20621.60327472528
2018-04-18,F,11.329999923706056,1.69,2.491592,20621.60327472528
2018-04-18,WFC,50.38999938964844,1.69,2.491592,20621.60327472528
2018-04-18,AMZN,76.39199829101562,1.69,2.491592,20621.60327472528
2018-04-18,AAPL,44.459999084472656,1.69,2.491592,20621.60327472528
2018-04-18,MSFT,96.44000244140624,1.69,2.491592,20621.60327472528
2018-04-18,CSCO,44.630001068115234,1.69,2.491592,20621.60327472528
2018-04-19,CSCO,44.560001373291016,1.69,2.491592,20623.99687912088
2018-04-19,WFC,51.540000915527344,1.69,2.491592,20623.99687912088
2018-04-19,MSFT,96.11000061035156,1.69,2.491592,20623.99687912088
2018-04-19,JPM,111.72000122070312,1.69,2.491592,20623.99687912088
2018-04-19,AAPL,43.20000076293945,1.69,2.491592,20623.99687912088
2018-04-19,MS,54.70000076293945,1.69,2.491592,20623.99687912088
2018-04-19,AMZN,77.84549713134766,1.69,2.491592,20623.99687912088
2018-04-19,F,10.960000038146973,1.69,2.491592,20623.99687912088
2018-04-20,JPM,111.47000122070312,1.7,2.491592,20626.390483516483
2018-04-20,MS,54.459999084472656,1.7,2.491592,20626.390483516483
2018-04-20,MSFT,95.0,1.7,2.491592,20626.390483516483
2018-04-20,AMZN,76.37449645996094,1.7,2.491592,20626.390483516483
2018-04-20,AAPL,41.43000030517578,1.7,2.491592,20626.390483516483
2018-04-20,WFC,52.560001373291016,1.7,2.491592,20626.390483516483
2018-04-20,F,10.81999969482422,1.7,2.491592,20626.390483516483
2018-04-20,CSCO,44.09000015258789,1.7,2.491592,20626.390483516483
2018-04-23,JPM,110.93000030517578,1.7,2.491592,20633.571296703296
2018-04-23,MSFT,95.3499984741211,1.7,2.491592,20633.571296703296
2018-04-23,WFC,52.61000061035156,1.7,2.491592,20633.571296703296
2018-04-23,CSCO,44.25,1.7,2.491592,20633.571296703296
2018-04-23,F,11.039999961853027,1.7,2.491592,20633.571296703296
2018-04-23,AAPL,41.310001373291016,1.7,2.491592,20633.571296703296
2018-04-23,MS,53.63999938964844,1.7,2.491592,20633.571296703296
2018-04-23,AMZN,75.89299774169922,1.7,2.491592,20633.571296703296
2018-04-24,MSFT,93.12000274658205,1.7,2.491592,20635.9649010989
2018-04-24,CSCO,43.7400016784668,1.7,2.491592,20635.9649010989
2018-04-24,MS,53.06999969482422,1.7,2.491592,20635.9649010989
2018-04-24,AMZN,73.00450134277344,1.7,2.491592,20635.9649010989
2018-04-24,JPM,110.41000366210938,1.7,2.491592,20635.9649010989
2018-04-24,AAPL,40.73500061035156,1.7,2.491592,20635.9649010989
2018-04-24,WFC,52.5099983215332,1.7,2.491592,20635.9649010989
2018-04-24,F,10.960000038146973,1.7,2.491592,20635.9649010989
2018-04-25,MS,52.040000915527344,1.7,2.491592,20638.358505494507
2018-04-25,AMZN,73.00849914550781,1.7,2.491592,20638.358505494507
2018-04-25,AAPL,40.91249847412109,1.7,2.491592,20638.358505494507
2018-04-25,MSFT,92.30999755859376,1.7,2.491592,20638.358505494507
2018-04-25,F,11.109999656677246,1.7,2.491592,20638.358505494507
2018-04-25,CSCO,43.709999084472656,1.7,2.491592,20638.358505494507
2018-04-25,JPM,109.98999786376952,1.7,2.491592,20638.358505494507
2018-04-25,WFC,53.11000061035156,1.7,2.491592,20638.358505494507
2018-04-26,MS,52.20000076293945,1.7,2.491592,20640.75210989011
2018-04-26,WFC,52.43999862670898,1.7,2.491592,20640.75210989011
2018-04-26,AMZN,75.89800262451172,1.7,2.491592,20640.75210989011
2018-04-26,MSFT,94.26000213623048,1.7,2.491592,20640.75210989011
2018-04-26,JPM,110.0999984741211,1.7,2.491592,20640.75210989011
2018-04-26,CSCO,44.209999084472656,1.7,2.491592,20640.75210989011
2018-04-26,AAPL,41.05500030517578,1.7,2.491592,20640.75210989011
2018-04-26,F,11.43000030517578,1.7,2.491592,20640.75210989011
2018-04-27,F,11.489999771118164,1.7,2.491592,20643.145714285714
2018-04-27,MS,51.86000061035156,1.7,2.491592,20643.145714285714
2018-04-27,WFC,52.36000061035156,1.7,2.491592,20643.145714285714
2018-04-27,AMZN,78.63099670410156,1.7,2.491592,20643.145714285714
2018-04-27,JPM,109.4000015258789,1.7,2.491592,20643.145714285714
2018-04-27,MSFT,95.81999969482422,1.7,2.491592,20643.145714285714
2018-04-27,AAPL,40.58000183105469,1.7,2.491592,20643.145714285714
2018-04-27,CSCO,44.709999084472656,1.7,2.491592,20643.145714285714
2018-04-30,AMZN,78.30650329589844,1.69,2.491592,20650.326527472527
2018-04-30,CSCO,44.290000915527344,1.69,2.491592,20650.326527472527
2018-04-30,MS,51.619998931884766,1.69,2.491592,20650.326527472527
2018-04-30,JPM,108.77999877929688,1.69,2.491592,20650.326527472527
2018-04-30,AAPL,41.31499862670898,1.69,2.491592,20650.326527472527
2018-04-30,MSFT,93.5199966430664,1.69,2.491592,20650.326527472527
2018-04-30,F,11.239999771118164,1.69,2.491592,20650.326527472527
2018-04-30,WFC,51.959999084472656,1.69,2.491592,20650.326527472527
2018-05-01,AAPL,42.275001525878906,1.7,2.543212,20652.720131868133
2018-05-01,MS,51.810001373291016,1.7,2.543212,20652.720131868133
2018-05-01,MSFT,95.0,1.7,2.543212,20652.720131868133
2018-05-01,F,11.260000228881836,1.7,2.543212,20652.720131868133
2018-05-01,AMZN,79.11299896240234,1.7,2.543212,20652.720131868133
2018-05-01,WFC,52.560001373291016,1.7,2.543212,20652.720131868133
2018-05-01,JPM,108.77999877929688,1.7,2.543212,20652.720131868133
2018-05-01,CSCO,44.83000183105469,1.7,2.543212,20652.720131868133
2018-05-02,F,11.210000038146973,1.7,2.543212,20655.11373626373
2018-05-02,WFC,52.18999862670898,1.7,2.543212,20655.11373626373
2018-05-02,MSFT,93.51000213623048,1.7,2.543212,20655.11373626373
2018-05-02,JPM,107.91999816894533,1.7,2.543212,20655.11373626373
2018-05-02,MS,51.70000076293945,1.7,2.543212,20655.11373626373
2018-05-02,AMZN,78.48400115966797,1.7,2.543212,20655.11373626373
2018-05-02,CSCO,43.86000061035156,1.7,2.543212,20655.11373626373
2018-05-02,AAPL,44.14250183105469,1.7,2.543212,20655.11373626373
2018-05-03,MSFT,94.06999969482422,1.7,2.543212,20657.50734065934
2018-05-03,JPM,107.23999786376952,1.7,2.543212,20657.50734065934
2018-05-03,AMZN,78.60399627685547,1.7,2.543212,20657.50734065934
2018-05-03,CSCO,44.43999862670898,1.7,2.543212,20657.50734065934
2018-05-03,AAPL,44.22249984741211,1.7,2.543212,20657.50734065934
2018-05-03,MS,51.08000183105469,1.7,2.543212,20657.50734065934
2018-05-03,F,11.199999809265137,1.7,2.543212,20657.50734065934
2018-05-03,WFC,51.540000915527344,1.7,2.543212,20657.50734065934
2018-05-04,CSCO,45.29999923706055,1.7,2.543212,20659.900945054946
2018-05-04,AAPL,45.95750045776367,1.7,2.543212,20659.900945054946
2018-05-04,JPM,108.43000030517578,1.7,2.543212,20659.900945054946
2018-05-04,WFC,52.40999984741211,1.7,2.543212,20659.900945054946
2018-05-04,F,11.359999656677246,1.7,2.543212,20659.900945054946
2018-05-04,MSFT,95.16000366210938,1.7,2.543212,20659.900945054946
2018-05-04,AMZN,79.04750061035156,1.7,2.543212,20659.900945054946
2018-05-04,MS,51.400001525878906,1.7,2.543212,20659.900945054946
2018-05-07,WFC,52.65999984741211,1.7,2.543212,20667.08175824176
2018-05-07,AMZN,80.00700378417969,1.7,2.543212,20667.08175824176
2018-05-07,CSCO,45.72999954223633,1.7,2.543212,20667.08175824176
2018-05-07,MS,52.38999938964844,1.7,2.543212,20667.08175824176
2018-05-07,MSFT,96.22000122070312,1.7,2.543212,20667.08175824176
2018-05-07,AAPL,46.290000915527344,1.7,2.543212,20667.08175824176
2018-05-07,JPM,109.37000274658205,1.7,2.543212,20667.08175824176
2018-05-07,F,11.34000015258789,1.7,2.543212,20667.08175824176
2018-05-08,MSFT,95.80999755859376,1.7,2.543212,20669.475362637364
2018-05-08,CSCO,45.709999084472656,1.7,2.543212,20669.475362637364
2018-05-08,F,11.270000457763672,1.7,2.543212,20669.475362637364
2018-05-08,AAPL,46.51250076293945,1.7,2.543212,20669.475362637364
2018-05-08,WFC,53.18999862670898,1.7,2.543212,20669.475362637364
2018-05-08,AMZN,79.61949920654297,1.7,2.543212,20669.475362637364
2018-05-08,JPM,110.98999786376952,1.7,2.543212,20669.475362637364
2018-05-08,MS,53.380001068115234,1.7,2.543212,20669.475362637364
2018-05-09,MSFT,96.94000244140624,1.7,2.543212,20671.86896703297
2018-05-09,AAPL,46.84000015258789,1.7,2.543212,20671.86896703297
2018-05-09,AMZN,80.4000015258789,1.7,2.543212,20671.86896703297
2018-05-09,F,11.0600004196167,1.7,2.543212,20671.86896703297
2018-05-09,WFC,53.7599983215332,1.7,2.543212,20671.86896703297
2018-05-09,CSCO,46.040000915527344,1.7,2.543212,20671.86896703297
2018-05-09,JPM,113.41000366210938,1.7,2.543212,20671.86896703297
2018-05-09,MS,54.13999938964844,1.7,2.543212,20671.86896703297
2018-05-10,MS,55.040000915527344,1.7,2.543212,20674.26257142857
2018-05-10,F,11.210000038146973,1.7,2.543212,20674.26257142857
2018-05-10,AAPL,47.5099983215332,1.7,2.543212,20674.26257142857
2018-05-10,WFC,54.650001525878906,1.7,2.543212,20674.26257142857
2018-05-10,MSFT,97.91000366210938,1.7,2.543212,20674.26257142857
2018-05-10,AMZN,80.4540023803711,1.7,2.543212,20674.26257142857
2018-05-10,CSCO,46.29999923706055,1.7,2.543212,20674.26257142857
2018-05-10,JPM,114.29000091552734,1.7,2.543212,20674.26257142857
2018-05-11,MSFT,97.6999969482422,1.7,2.543212,20676.656175824177
2018-05-11,WFC,54.45000076293945,1.7,2.543212,20676.656175824177
